名称,图标,消耗,value,制作时间,里程碑,prio,isSpecial,效果
杯子,"<i class=""mdi mdi-glasses""></i>","{""玻璃"":""$14M$"",""金属"":""$11M$""}",21,80,"{""100"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":65},""750"":{""类型"":""changeStat"",""name"":""value"",""value"":28},""5400"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":55},""30000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":45}}",,,
箭头,"<i class=""mdi mdi-arrow-projectile-multiple""></i>","{""木头"":""$1.25M$"",""石头"":""$400K$""}",21,100,"{""85"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":85},""400"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":70},""10000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":60}}",,,
碗,"<i class=""mdi mdi-bowl""></i>","{""木头"":""$2.5M$""}",25,130,"{""90"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":100},""675"":{""类型"":""villageCraft"",""name"":""灌木"",""value"":true},""4800"":{""类型"":""changeStat"",""name"":""value"",""value"":34},""25000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":80}}",,,
链,"<i class=""mdi mdi-link-variant""></i>","{""植物纤维"":""$3M$"",""金属"":""$1.35M$""}",19,70,"{""140"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":60},""875"":{""类型"":""villageCraft"",""name"":""车库"",""value"":true},""4300"":{""类型"":""changeStat"",""name"":""value"",""value"":25},""23000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":50}}",,,
矛,"<i class=""mdi mdi-spear""></i>","{""木头"":""$8M$"",""金属"":""$1.75M$""}",26,120,"{""110"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":95},""800"":{""类型"":""changeStat"",""name"":""value"",""value"":35},""5750"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":75},""28000"":{""类型"":""changeStat"",""name"":""value"",""value"":45}}",,,
金戒指,"<i class=""mdi mdi-circle-outline""></i>","{""金属"":""$5M$"",""水"":""$750K$""}",140,600,"{""30"":{""类型"":""changeStat"",""name"":""value"",""value"":188},""225"":{""类型"":""changeStat"",""name"":""value"",""value"":239},""1800"":{""类型"":""changeStat"",""name"":""value"",""value"":295}}",,,
毒箭,"<i class=""mdi mdi-arrow-projectile-multiple""></i>","{""craft_arrows"":5,""酸瓶"":1}",850,600,"{""120"":{""类型"":""changeStat"",""name"":""value"",""value"":1100},""700"":{""类型"":""changeStat"",""name"":""value"",""value"":1400},""5000"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":300}}",1,,
冰霜长矛,"<i class=""mdi mdi-spear""></i>","{""craft_spear"":10,""雪花"":1}",2200,1500,"{""55"":{""类型"":""changeStat"",""name"":""value"",""value"":3000},""300"":{""类型"":""changeStat"",""name"":""value"",""value"":3950},""2350"":{""类型"":""changeStat"",""name"":""value"",""value"":5100}}",1,,
麻辣汤,"<i class=""mdi mdi-pot-steam""></i>","{""craft_bowl"":15,""植物纤维"":""$250M$"",""水"":""$35M$"",""辣椒包"":1}",2550,75,"{""40"":{""类型"":""changeStat"",""name"":""value"",""value"":3400},""240"":{""类型"":""changeStat"",""name"":""value"",""value"":4500},""1900"":{""类型"":""changeStat"",""name"":""value"",""value"":5750}}",1,,
秒表,"<i class=""mdi mdi-timer""></i>","{""craft_screws"":20,""金属"":""$1.44B$"",""齿轮"":1}",8600,3600,"{""65"":{""类型"":""changeStat"",""name"":""制作时间"",""value"":1800},""335"":{""类型"":""changeStat"",""name"":""value"",""value"":""$12.5K$""}}",1,,
小宝箱,"<i class=""mdi mdi-treasure-chest""></i>","{""craft_rope"":""${(2)}^{lvl}  \\cdot  60$"",""craft_woodenPlanks"":""${(2)}^{lvl}  \\cdot  30$"",""craft_brick"":""${(2)}^{lvl}  \\cdot  15$"",""craft_screws"":""${(2)}^{lvl}  \\cdot  25$""}",,7200,,1,true,材料容量*｛$lvl  \cdot  0.1 + 1$｝
灌木,"<i class=""mdi mdi-nature""></i>","{""水"":""${(1.25)}^{lvl}  \\cdot  500K$"",""craft_pouch"":""$getSequence(5, lvl + 1)  \\cdot  8$"",""craft_bowl"":""$getSequence(2, lvl + 1)  \\cdot  10$""}",,3600,,1,true,"植物纤维增益*｛$lvl  \cdot  0.05 + 1$｝; 植物纤维容量+｛$getSequence(2, lvl)  \cdot  500$｝"
手锯,"<i class=""mdi mdi-hand-saw""></i>","{""金属"":""${(1.25)}^{lvl}  \\cdot  1.8M$"",""craft_weight"":""$getSequence(3, lvl + 1)  \\cdot  15$""}",,3600,,1,true,"木头增益*｛$lvl  \cdot  0.05 + 1$｝; 木头容量+｛$getSequence(2, lvl)  \cdot  500$｝"
车库,"<i class=""mdi mdi-garage-open-variant""></i>","{""木头"":""${(1.25)}^{lvl}  \\cdot  14M$"",""craft_chain"":""$getSequence(3, lvl + 1)  \\cdot  15$""}",,3600,,1,true,"石头增益*｛$lvl  \cdot  0.05 + 1$｝; 石头容量+｛$getSequence(2, lvl)  \cdot  500$｝"
钻石戒指,"<i class=""mdi mdi-ring""></i>","{""金属"":""${(1.25)}^{lvl}  \\cdot  14M$"",""宝石"":""${(1.25)}^{lvl}  \\cdot  2M$"",""craft_goldenRing"":""$getSequence(2, lvl)  \\cdot  5$""}",,14400,,1,true,金币增益*｛$lvl  \cdot  0.2 + 1$｝; 铜币增益*｛$lvl  \cdot  0.2 + 1$｝
